SMILES,Min_PE
ClC1=CC=C(C2=CC=CC=C2)C=C1Cl,-2115.41027
ClC1=CC=CC(Cl)=C1C1=CC=CC=C1,-2115.55541
CCCC(Cl)Cl,-1133.82883
CC(Cl)C(C)Cl,-1134.09382
ClC1=CC=C2OC3=CC=C(Cl)C=C3C2=C1,-2383.28528
ClC1=CC=C2OC3=CC(Cl)=CC=C3OC2=C1,-2678.34227
ClC1=CC=C2OC3=CC=C(Cl)C=C3OC2=C1,-2678.34054
FC(F)(Cl)Cl,-1588.33347
ClC1=CC=CC(Cl)=C1OC1=CC=CC=C1,-2410.2769
ClC1=CC=C(OC2=C(Cl)C=CC=C2)C=C1,-2410.39677
CC(Cl)Cl,-833.876
ClCCCl,-833.78954
C=C(Cl)Cl,-805.84284
ClC=CCl,-805.85117
ClC(Cl)COCC(Cl)Cl,-1935.2622
ClCCl,-683.54394
ClCCCCl,-983.9014
CC(Cl)CCl,-984.00015
COC1=CC(Cl)=C(Cl)C=C1OC,-2214.29857
CCOCCOCC,-1516.43045
CCOC(C)OCC,-1516.8009
CCC1=CC=C(CC)C=C1,-1417.7483
CCOCC,-921.72983
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-2844.44746
IC1=CC=C(I)C=C1,-1237.3312
IC=CI,-718.77805
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,-3444.34268
CC(C)OC(C)C,-1221.89632
CC(C)C(=O)C(C)C,-1344.94521
COC1=CC=C(OC)C(C=O)=C1,-2125.28158
COCOC,-1066.49832
CCC(C)(C)CO,-1221.91469
CC(C)(C)CCO,-1222.08767
CCCC(C)(C)CO,-1371.89399
CC(C)CC(C)CO,-1371.93755
CC(C)(C)CCCO,-1372.041
CCCC(C)(C)CO,-1371.96509
CC(O)C(C)(C)C,-1222.23289
CC(C)C(C)(C)O,-1222.27011
CC(C)CC(C)(C)O,-1372.25154
CCC(C)C(C)(C)O,-1372.19859
CCC(O)C(C)(C)C,-1372.16842
CC(C)C(O)C(C)C,-1372.05894
CCC(C)(O)C(C)C,-1372.15405
CC(=O)N(C)C,-1094.8065
CC1=CC=CC=C1C,-1117.83863
CC1=CC=CC(C)=C1,-1117.88332
CC1=CC=C(C)C=C1,-1117.87038
CCC(C)(C)C,-926.85354
CC(C)C(C)CO,-1222.01431
CC1CCCCC1C,-1199.69188
CC1=C2C=CC=CC2=C(C)C=C1,-1636.04175
CC(C)CC(C)C,-1076.70126
COC(=O)C1=CC=CC=C1C(=O)OC,-2544.25557
COC(=O)C1=CC=C(C(=O)OC)C=C1,-2544.42638
C=CC=C(C)C=CC=CC,-1416.00111
C1=CC=C(OC2=CC=CC=C2)C=C1,-1903.27142
C1=CC=C(CC2=CC=CC=C2)C=C1,-1758.34446
CCCOCCC,-1221.70985
CCCCCCC=O,-1344.59806
ClCC1CO1,-997.02813
CCOC1=CC=C(C=O)C=C1OC,-2275.20569
CCOC1=CC(C=O)=CC=C1O,-2125.79825
CCC(CC)CO,-1221.99861
CCCCC(CC)CO,-1521.79443
CCC1=CC=CC=C1C,-1267.75692
CCC(C)(C)O,-1072.33036
CCC(O)(CC)CC,-1372.14164
CCC1=CC=C(C)C=C1,-1267.80891
CCOC(C)=O,-1190.56396
C=CC(=O)OCC,-1312.53125
CCOC(=O)C1=CC=CC=C1,-1831.11392
CCCC(=O)OCC,-1490.43154
CCCCCCCC(=O)OCC,-2090.28204
ClCCCl,-833.78962
OCCO,-917.37522
CCOC=O,-1040.28493
CCCCCCC(=O)OCC,-1940.38908
CCOC(C)C,-1071.83522
CCCCCCCCC(=O)OCC,-2240.22062
CCOC(=O)CC,-1340.49716
CCCOCC,-1071.73794
CCCCC(=O)OCC,-1640.37505
C=COCC,-893.96
C1=CC=C2C(=C1)C1=CC=CC3=CC=CC2=C31,-2099.2444
C1=CC2=C(C=C1)C1=C(C=CC=C1)C2,-1731.31945
FC1=CC=C(I)C=C1,-1479.66355
FC1=CC=CC=C1,-1269.80365
C1=COC=C1,-839.47206
O=CC1=CC=CO1,-1257.20637
ClC1=CC(Cl)=C(Cl)C=C1C1=C(Cl)C=C(Cl)C(Cl)=C1Cl,-3382.9033
ClC1=CC=C(C2=C(Cl)C=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-3382.85636
ClC1=CC(Cl)=C(Cl)C=C1C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,-3382.89775
ClC1=C(Cl)C(Cl)=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3C2=C1,-3650.22342
ClC1=C(Cl)C(Cl)=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3OC2=C1,-3945.14164
ClC1=CC=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C=C1Cl,-3677.39721
ClC1=CC=C(OC2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-3677.45336
ClC1=CC(Cl)=C(Cl)C=C1OC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-3677.49634
ClC1=CC=C(OC2=C(Cl)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C1Cl,-3677.57186
ClC1=CC(Cl)=C(Cl)C=C1OC1=C(Cl)C(Cl)=CC(Cl)=C1Cl,-3677.6151
CCCCCCC,-1076.74412
CCCCCCCO,-1372.00513
CCCCCC(C)O,-1372.19531
CCCCC(O)CC,-1372.05962
CCCC(O)CCC,-1372.07269
CC=CCCCC,-1049.11934
C#CCCCCC,-1020.96116
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-2091.42158
ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-2338.15441
ClC1=CC(Cl)=C(Cl)C(C2=CC(Cl)=CC(Cl)=C2Cl)=C1,-3129.43762
ClC1=C(Cl)C(C2=C(Cl)C=CC(Cl)=C2Cl)=C(Cl)C=C1,-3129.57195
ClC1=CC(C2=C(Cl)C(Cl)=CC(Cl)=C2)=C(Cl)C(Cl)=C1,-3129.43728
ClC1=CC(Cl)=C(C2=C(Cl)C=C(Cl)C=C2Cl)C(Cl)=C1,-3129.6847
ClC1=CC=C(C2=CC=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-3129.35561
ClC1=C(Cl)C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)=CC=C1,-3129.32128
ClC1=CC=C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1,-3129.38523
ClC1=CC=C(Cl)C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)=C1,-3129.37899
ClC1=CC=C(Cl)C(C2=C(Cl)C(Cl)=CC(Cl)=C2Cl)=C1,-3129.48678
ClC1=CC=C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C=C1Cl,-3129.27296
ClC1=CC=C(C2=C(Cl)C=C(Cl)C(Cl)=C2Cl)C=C1Cl,-3129.36975
ClC1=CC(Cl)=C(Cl)C(C2=CC=CC(Cl)=C2Cl)=C1Cl,-3129.4283
ClC1=C(Cl)C(Cl)=C2OC3=CC(Cl)=C(Cl)C(Cl)=C3C2=C1,-3396.91167
ClC1=C(Cl)C=C2C(=C1)OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C21,-3396.89781
ClC1=C(Cl)C=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3OC2=C1,-3691.81783
ClC1=CC=C(OC2=CC=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-3424.06068
ClC1=CC(Cl)=C(OC2=CC=C(Cl)C(Cl)=C2Cl)C(Cl)=C1,-3424.05618
ClC1=CC(Cl)=C(Cl)C=C1OC1=CC=C(Cl)C(Cl)=C1Cl,-3424.21934
ClC1=CC(Cl)=C(Cl)C=C1OC1=CC(Cl)=C(Cl)C=C1Cl,-3424.2601
ClC1=CC(Cl)=C(OC2=CC(Cl)=C(Cl)C=C2Cl)C(Cl)=C1,-3424.25509
ClC1=CC(Cl)=C(Cl)C=C1OC1=CC(Cl)=C(Cl)C(Cl)=C1,-3424.15355
ClC1=CC(Cl)=C(OC2=C(Cl)C(Cl)=C(Cl)C=C2)C=C1Cl,-3424.10375
ClC1=CC=C(OC2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C=C1Cl,-3424.08967
ClC1=CC=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C=C1,-3423.95933
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88413
C=CCCC=C,-871.08964
CCCCCC,-926.77671
CCCCCCO,-1222.04574
CCCCC(C)O,-1222.18668
CCCC(O)CC,-1222.09181
C=CCCCC,-898.94679
CCCCCCOC(C)=O,-1790.40358
CCCCCCC1=CC=CC=C1,-1717.44916
C#CCCCC,-871.01678
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-4462.04811
O=CC1=CC=C(O)C=C1,-1530.74221
CC(=O)C1CCC2C3CCC4=CC(=O)CC(O)C4(C)C3CCC12C,-3871.46497
C1=CC2=C(C=C1)CCC2,-1240.56222
IC1=CC=CC=C1,-1027.46967
CCCCI,-836.72817
CCI,-536.87275
CI,-386.88249
CCCI,-686.82587
CC(C)I,-686.88885
CC(=O)OCC(C)C,-1490.51033
CC(C)COC=O,-1340.10476
CC(C)CCO,-1072.0964
CC(=O)OC(C)C,-1340.66426
CC1=CC=C(C(C)C)C=C1,-1417.76569
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3788.77718
CCOC(=O)CC(=O)OCC,-2203.92012
CC1CCC(C(C)C)C(O)C1,-1794.79027
CCCC(C)(COC(N)=O)COC(N)=O,-2903.82093
C,-177.04321
COC1=CC=C(C=O)C=C1,-1680.44465
COC1=CC=CC=C1,-1262.53555
COC1=CC=C(C(C2=CC=C(OC)C=C2)C(Cl)(Cl)Cl)C=C1,-3558.50071
C=CC(=C)C,-721.30669
CCC(C)CO,-1072.05831
CCCC(C)CO,-1222.02734
CC(C)CCCO,-1222.04985
C=CCC(C)C,-898.95684
CC(C)C(C)O,-1072.13986
CCCCC(C)C(C)O,-1522.07422
CCCCCC(C)(C)O,-1522.19217
CC(C)CCC(C)O,-1372.15511
CCCCC(C)(C)O,-1372.20167
CC(C)CC(C)O,-1222.17818
CCCC(C)(C)O,-1222.2485
CCC(C)C(C)O,-1222.08103
CCCCC(C)(O)CC,-1522.15672
CCCC(C)(O)CC,-1372.19754
CCC(O)C(C)C,-1222.07806
CCC(C)(O)CC,-1222.24629
COC(C)=O,-1040.48674
C=CC(=O)OC,-1162.40378
CC1=C2C=CC=CC2=CC2=CC=CC=C21,-2003.96048
COC(=O)C1=CC=CC=C1,-1680.9962
CBr,-385.87372
CCCOC,-921.65875
CCCCC(C)=O,-1195.04687
CCCC(=O)OC,-1340.32732
CCCCCCCC(=O)OC,-1940.20158
CCl,-430.30401
CC1=CC=C2C=C3C4=CC=CC=C4C=CC3=C3CCC1=C23,-2795.27983
CC1CCCCC1,-1049.54819
CC1=CCCCC1,-1022.16798
CC1CCCC1,-899.65422
CCC(C)=O,-895.1039
CC1=CC=CC2=C1CC1=C2C=CC=C1,-1881.45409
COC=O,-890.16861
CCCCCCCC(C)=O,-1644.86295
CCCCCCC(C)=O,-1494.94049
CI,-386.88248
CC(=O)CC(C)C,-1195.06491
COC(C)C,-921.7627
CN=C=S,-648.45314
C=C(C)C(=O)OC,-1312.54821
CC1=C2C=CC=CC2=CC=C1,-1485.94099
CC1=CC=C2C=CC=CC2=C1,-1485.97299
CCCC(C)C,-926.81076
CCC(C)CC,-926.80125
CCCCCC(C)=O,-1344.97689
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-4584.07119
CC(C)CO,-922.14859
CCC(=O)OC,-1190.41314
CCCOC,-921.63044
CCCC(C)=O,-1045.08612
COC(C)(C)C,-1071.88051
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3453.58438
CC1CCCO1,-1044.77935
CCCCC(=O)OC,-1490.29604
CCCCCCCCCCCCCCO,-2421.54371
C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,-2372.09737
C1=CC=C2C=CC=CC2=C1,-1335.82336
COC1=CC=CC=C1[N+](=O)[O-],-2022.85154
COC1=CC=C(C=C1)[N+](=O)[O-],-2023.06152
C1=CC=C(C=C1)[N+](=O)[O-],-1578.01271
CC[N+](=O)[O-],-1087.42851
C[N+](=O)[O-],-937.43927
CCC[N+](=O)[O-],-1237.39408
CCC(C)[N+](=O)[O-],-1387.41621
CC1=CC(=CC=C1)[N+](=O)[O-],-1728.17926
CC1=CC=CC=C1[N+](=O)[O-],-1728.14604
ClC1=C(Cl)C(Cl)=C(Cl)C(C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)=C1,-3889.57283
ClC1=CC(Cl)=C(Cl)C(C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)=C1Cl,-3889.67974
C=CCCCCCCC,-1348.73203
C#CCCCCCCC,-1320.8936
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-3397.74914
ClC1=C(Cl)C(Cl)=C(Cl)C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)=C1,-3636.1302
ClC1=CC(Cl)=C(Cl)C(C2=C(Cl)C(Cl)=CC(Cl)=C2Cl)=C1Cl,-3636.3467
ClC1=C(Cl)C(Cl)=C2C(=C1Cl)OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C12,-3903.50169
ClC1=C(Cl)C(Cl)=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3OC2=C1Cl,-4198.45152
ClC1=CC(Cl)=C(Cl)C=C1OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-3930.93626
ClC1=C(Cl)C(Cl)=C(Cl)C(OC2=CC(Cl)=C(Cl)C(Cl)=C2Cl)=C1,-3930.83695
