SMILES,Min_PE
CC1=CC=C(N2C=CC(=O)C(O)=C2C)C=C1,-2548.47645
CC(C)NCC(O)COC1=C2C=CNC2=CC=C1,-2952.39836
CCCCCCCNC(=O)C1=CN=CC=C1,-2535.2204
C1=COC(C2=NC3=C(C=CC=C3)N2)=C1,-2125.1259
CCOP(=S)(OCC)OC1=C(Cl)C=C(Cl)C(Cl)=N1,-3482.14107
CC1=NC(=O)C(C(N)=O)C(=O)N1,-2276.85708
COC1=C(C(=O)O)OC2=C1C=CC=C2,-2516.33244
CC1=CC2=C(C=C1)NC(=O)C(=O)N2,-2177.02182
O=C1NC(=O)C2=C(N1)NC(=O)N2,-2299.75943
O=C1NC(=S)C2=C(N1)NC(=O)N2,-2180.63782
O=C1CNC(=O)C2=C(C=CC=C2)N1,-2176.84021
CN(C)C1=C2N=CC=NC2=NC=N1,-2033.93714
CC(=O)NC1=CC2=C(C=C1)COC2=O,-2422.14061
C1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,-2414.10612
O=C(NC1CCCCC1)C1=CN=CC=C1,-2358.11016
CN1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2,-2349.16627
COC1=CC=C2COC(=O)C2=C1OC,-2543.48665
CCC1=NC2=CN=C(N)N=C2N=C1CC,-2334.50927
CC(=O)CC(CC(=O)O)C1=CC=CC=C1,-2549.47974
NC1=NC(=O)NN1C1=CC=CC=C1,-2129.43588
CC=CCC1(CC=CC)C(=O)NC(=O)NC1=O,-2949.35584
NC1=NC(=O)N(C2=CC=CC=C2)N1,-2129.45674
O=C1C=C(C(=O)O)OC(C(=O)O)=C1,-2684.81215
CC1=NC2=C(N=CN=C2)N(C)C1=O,-2130.44968
CCC1(CC)C(=O)NC(=O)NC1=O,-2404.85281
CCC1(CC)C(=O)NC(=S)NC1=O,-2285.6208
O=C1CC(C(=O)O)CC2=C1C=CC=C2,-2372.65854
O=C(C1=CC=CO1)N(O)C1=CC=CC=C1,-2542.02462
CN1C=NC2=C1C(=O)NC(=O)N2C,-2303.54915
